,,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks
Squad,# Pl,MP,Starts,Min,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm
Arsenal,3,38,38,3420,37,0.97,142,105,.739,21,10,7,14,36.8,,,,
Aston Villa,2,38,38,3420,69,1.82,193,124,.642,10,11,17,5,13.2,,,,
Chelsea,2,38,38,3420,39,1.03,162,123,.759,22,9,7,14,36.8,,,,
Everton,2,38,38,3420,40,1.05,143,103,.720,16,15,7,11,28.9,,,,
Fulham,2,38,38,3420,60,1.58,198,138,.697,11,10,17,8,21.1,,,,
Liverpool,2,38,38,3420,43,1.13,135,92,.681,16,13,9,16,42.1,,,,
Manchester City,1,38,38,3420,34,0.89,112,78,.696,23,9,6,18,47.4,,,,
Manchester Utd,2,38,38,3420,43,1.13,152,109,.717,28,5,5,13,34.2,,,,
Newcastle Utd,3,38,38,3420,68,1.79,189,121,.640,11,8,19,6,15.8,,,,
Norwich City,3,38,38,3420,58,1.53,176,118,.670,10,14,14,10,26.3,,,,
QPR,2,38,38,3420,60,1.58,192,132,.688,4,13,21,7,18.4,,,,
Reading,3,38,38,3420,73,1.92,236,163,.691,6,10,22,5,13.2,,,,
Southampton,3,38,38,3420,60,1.58,162,102,.630,9,14,15,7,18.4,,,,
Stoke City,1,38,38,3420,45,1.18,154,109,.708,9,15,14,12,31.6,,,,
Sunderland,1,38,38,3420,54,1.42,200,146,.730,9,12,17,11,28.9,,,,
Swansea City,2,38,38,3420,51,1.34,201,150,.746,11,13,14,10,26.3,,,,
Tottenham,2,38,38,3420,46,1.21,127,81,.638,21,9,8,9,23.7,,,,
West Brom,2,38,38,3420,57,1.50,177,120,.678,14,7,17,8,21.1,,,,
West Ham,1,38,38,3420,53,1.39,215,162,.753,12,10,16,11,28.9,,,,
Wigan Athletic,2,38,38,3420,73,1.92,188,115,.612,9,9,20,5,13.2,,,,
