Rk,Squad,MP,W,D,L,GF,GA,GDiff,Pts,xG,xGA,xGDiff,xGDiff/90,Last 5,Attendance,Top Team Scorer,Goalkeeper,Notes
1,Tottenham,12,7,4,1,24,10,+14,25,17.4,13.2,+4.2,+0.35,W W D W D,333,Son Heung-min - 10,Hugo Lloris,
2,Liverpool,12,7,4,1,27,18,+9,25,25.9,17.1,+8.8,+0.73,D W D W D,333,Mohamed Salah - 10,Alisson,
3,Leicester City,12,8,0,4,24,15,+9,24,19.0,14.9,+4.1,+0.34,W L L W W,,Jamie Vardy - 10,Kasper Schmeichel,
4,Southampton,12,7,2,3,24,17,+7,23,13.3,15.1,-1.8,-0.15,W D L W W,333,Danny Ings - 6,Alex McCarthy,
5,Chelsea,12,6,4,2,25,12,+13,22,20.6,12.4,+8.2,+0.68,W W D W L,333,Timo Werner Kurt Zouma - 4,Edouard Mendy,
6,West Ham,12,6,2,4,20,15,+5,20,17.4,16.6,+0.8,+0.07,W W W L W,,Jarrod Bowen - 4,Łukasz Fabiański,
7,Everton,12,6,2,4,21,18,+3,20,18.1,15.7,+2.4,+0.20,L W L D W,333,Dominic Calvert-Lewin - 11,Jordan Pickford,
8,Manchester Utd,11,6,2,3,19,17,+2,20,16.2,14.6,+1.6,+0.15,W W W W D,,Bruno Fernandes - 7,David de Gea,
9,Manchester City,11,5,4,2,17,11,+6,19,18.3,10.8,+7.5,+0.68,D L W W D,,Riyad Mahrez - 4,Ederson,
10,Aston Villa,10,6,0,4,21,13,+8,18,17.0,12.8,+4.2,+0.42,L W L L W,,Ollie Watkins - 6,Emiliano Martínez,
11,Crystal Palace,12,5,2,5,18,17,+1,17,13.0,15.8,-2.8,-0.23,W L L W D,333,Wilfried Zaha - 7,Vicente Guaita,
12,Newcastle Utd,11,5,2,4,14,16,-2,17,11.9,14.3,-2.3,-0.21,W L L W W,,Callum Wilson - 7,Karl Darlow,
13,Wolves,12,5,2,5,11,16,-5,17,12.0,14.2,-2.2,-0.18,L D W L L,,Raúl Jiménez - 4,Rui Patrício,
14,Leeds United,12,4,2,6,17,22,-5,14,20.9,22.5,-1.5,-0.13,L D W L L,,Patrick Bamford - 8,Illan Meslier,
15,Arsenal,12,4,1,7,10,15,-5,13,13.7,15.3,-1.6,-0.13,L D L L L,,Alexandre Lacazette - 3,Bernd Leno,
16,Brighton,12,2,4,6,15,21,-6,10,16.7,12.7,+4.0,+0.33,D W D L L,,Neal Maupay - 4,Mathew Ryan,
17,Burnley,11,2,3,6,6,18,-12,9,9.1,15.7,-6.6,-0.60,D W L D W,,Chris Wood - 2,Nick Pope,
18,Fulham,12,2,2,8,12,22,-10,8,14.3,19.5,-5.3,-0.44,L L W L D,,Bobby Reid - 4,Alphonse Areola,
19,West Brom,12,1,3,8,9,25,-16,6,8.0,22.1,-14.1,-1.17,L L W L L,,Conor Gallagher Callum Robinson - 2,Sam Johnstone,
20,Sheffield Utd,12,0,1,11,5,21,-16,1,11.4,19.0,-7.6,-0.63,L L L L L,,David McGoldrick - 2,Aaron Ramsdale,
