,,,,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes
Squad,# Pl,Age,Poss,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,xG,xA,xG+xA,npxG,npxG+xA
Arsenal,21,26.6,53.8,12,132,1080,10,7,1,1,18,2,0.83,0.58,1.42,0.75,1.33,13.7,13.0,9.3,1.14,0.78,1.92,1.08,1.86
Aston Villa,18,25.4,49.5,10,110,900,20,17,2,3,24,1,2.00,1.70,3.70,1.80,3.50,17.0,14.8,12.7,1.70,1.27,2.97,1.48,2.75
Brighton,21,26.1,52.2,12,132,1080,14,9,4,5,21,3,1.17,0.75,1.92,0.83,1.58,16.7,12.9,10.1,1.39,0.84,2.24,1.07,1.92
Burnley,21,28.4,40.8,11,121,990,5,2,0,0,14,0,0.45,0.18,0.64,0.45,0.64,9.1,9.1,6.1,0.83,0.55,1.38,0.83,1.38
Chelsea,27,26.3,60.1,12,132,1080,24,18,3,4,14,1,2.00,1.50,3.50,1.75,3.25,20.6,17.5,12.8,1.71,1.06,2.78,1.46,2.52
Crystal Palace,20,29.6,40.7,12,132,1080,16,11,2,2,17,1,1.33,0.92,2.25,1.17,2.08,13.0,11.6,8.1,1.08,0.68,1.76,0.96,1.64
Everton,25,27.1,50.3,12,132,1080,21,14,2,2,18,2,1.75,1.17,2.92,1.58,2.75,18.1,16.6,12.8,1.51,1.07,2.58,1.38,2.45
Fulham,24,26.3,47.7,12,132,1080,12,9,2,5,25,1,1.00,0.75,1.75,0.83,1.58,14.3,11.3,8.6,1.19,0.71,1.90,0.94,1.65
Leeds United,20,26.6,60.0,12,132,1080,17,11,2,2,19,0,1.42,0.92,2.33,1.25,2.17,20.9,19.4,14.1,1.74,1.17,2.92,1.62,2.79
Leicester City,23,27.4,53.4,12,132,1080,23,13,7,8,26,0,1.92,1.08,3.00,1.33,2.42,19.0,12.9,8.6,1.59,0.71,2.30,1.08,1.79
Liverpool,24,27.3,61.2,12,132,1080,25,12,5,5,10,0,2.08,1.00,3.08,1.67,2.67,25.9,22.3,15.2,2.16,1.27,3.43,1.85,3.12
Manchester City,22,26.6,62.9,11,121,990,17,13,2,3,15,0,1.55,1.18,2.73,1.36,2.55,18.3,16.0,13.1,1.66,1.19,2.85,1.46,2.64
Manchester Utd,24,26.2,53.7,11,121,990,18,13,3,4,17,1,1.64,1.18,2.82,1.36,2.55,16.2,13.2,10.7,1.47,0.97,2.44,1.20,2.17
Newcastle Utd,23,27.4,39.7,11,121,990,13,8,3,3,23,0,1.18,0.73,1.91,0.91,1.64,11.9,9.7,7.7,1.09,0.70,1.79,0.88,1.58
Sheffield Utd,22,26.9,38.6,12,132,1080,5,3,2,3,16,1,0.42,0.25,0.67,0.25,0.50,11.4,9.1,7.6,0.95,0.63,1.58,0.76,1.39
Southampton,20,27.4,55.3,12,132,1080,24,16,2,2,16,0,2.00,1.33,3.33,1.83,3.17,13.3,11.8,9.1,1.11,0.76,1.86,0.98,1.74
Tottenham,22,27.8,50.4,12,132,1080,24,20,2,2,14,0,2.00,1.67,3.67,1.83,3.50,17.4,15.9,11.3,1.45,0.94,2.39,1.32,2.26
West Brom,24,26.8,43.3,12,132,1080,9,5,0,0,16,2,0.75,0.42,1.17,0.75,1.17,8.0,8.0,5.3,0.67,0.44,1.11,0.67,1.11
West Ham,21,28.1,40.1,12,132,1080,18,14,0,0,18,0,1.50,1.17,2.67,1.50,2.67,17.4,17.4,12.8,1.45,1.07,2.52,1.45,2.52
Wolves,20,27.1,46.6,12,132,1080,11,5,0,0,18,1,0.92,0.42,1.33,0.92,1.33,12.0,12.0,8.5,1.00,0.71,1.71,1.00,1.71
