,,,,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes
Squad,# Pl,Age,Poss,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK
Arsenal,25,28.3,,38,418,,58,42,2,4,71,7,1.53,1.11,2.63,1.47,2.58
Aston Villa,23,26.0,,38,436,,50,32,2,4,60,2,1.32,0.84,2.16,1.26,2.11
Blackburn,29,25.4,,38,411,,34,28,2,4,77,6,0.89,0.74,1.63,0.84,1.58
Charlton Ath,27,27.5,,38,418,,39,24,4,6,59,3,1.03,0.63,1.66,0.92,1.55
Chelsea,26,28.5,,38,419,,56,38,3,4,88,4,1.47,1.00,2.47,1.39,2.39
Coventry City,27,27.1,,38,416,,39,26,2,2,70,1,1.03,0.68,1.71,0.97,1.66
Derby County,25,26.1,,38,417,,40,26,4,6,76,1,1.05,0.68,1.74,0.95,1.63
Everton,30,25.2,,38,436,,44,28,3,6,90,5,1.16,0.74,1.89,1.08,1.82
Leeds United,24,24.9,,38,424,,61,38,2,3,79,1,1.61,1.00,2.61,1.55,2.55
Leicester City,24,27.4,,38,424,,40,32,2,3,51,1,1.05,0.84,1.89,1.00,1.84
Liverpool,24,25.7,,38,412,,68,43,7,7,67,3,1.79,1.13,2.92,1.61,2.74
Manchester Utd,23,26.5,,38,419,,78,62,2,4,58,3,2.05,1.63,3.68,2.00,3.63
Middlesbrough,28,28.4,,38,417,,47,30,1,1,55,4,1.24,0.79,2.03,1.21,2.00
Newcastle Utd,29,25.6,,38,399,,47,26,6,7,79,2,1.24,0.68,1.92,1.08,1.76
Nott'ham Forest,31,27.2,,38,417,,35,23,2,2,85,6,0.92,0.61,1.53,0.87,1.47
Sheffield Weds,26,27.7,,38,409,,39,29,1,2,47,4,1.03,0.76,1.79,1.00,1.76
Southampton,27,27.1,,38,394,,35,27,1,1,75,2,0.92,0.71,1.63,0.89,1.61
Tottenham,26,26.6,,38,424,,48,33,2,3,68,5,1.26,0.87,2.13,1.21,2.08
West Ham,27,26.3,,38,417,,48,32,1,1,80,4,1.26,0.84,2.11,1.24,2.08
Wimbledon,23,26.9,,38,418,,40,33,1,1,57,1,1.05,0.87,1.92,1.03,1.89
